,Dataset,Mask bounding box,Mask position,Mask size,Sample id,Image index,GT info,Masked info,Info loss %
96,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,1,35.67744685385476,23.083009217326442,35.3008377760853
97,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,2,25.7323245777612,21.289626511801373,17.265047518479413
98,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,3,42.93249507166072,32.09068144280462,25.253164556962034
99,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,4,24.37370131599979,22.349352655975277,8.305462653288751
100,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,5,18.096861846662048,9.374500506153764,48.19819819819819
101,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,6,15.393201555756834,13.58623261761415,11.738746690203005
102,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,7,22.199904097181523,17.988171985721134,18.97184822521421
103,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,8,19.11582929298311,15.773616069050028,17.484008528784656
104,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,9,25.949704299643027,7.390910543982098,71.51832460732984
105,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,10,23.53135489370771,9.931536043475944,57.7944572748268
106,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,11,39.78048910437423,36.54696574138207,8.128415300546443
107,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,12,43.734082796099955,21.099419255154775,51.75520347934142
108,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,13,35.84048164526613,29.740263199957376,17.02047005307051
109,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,14,19.79514092386382,8.803878736213969,55.52505147563487
110,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,15,34.99813522297405,26.73770579146465,23.602484472049685
111,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,16,25.637220949437904,4.415525600724599,82.77689454160043
112,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,17,26.561084767435666,3.7362139698438916,85.93350383631714
113,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,18,28.571847194842558,15.366029090521605,46.21968616262482
114,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,19,29.64515957163408,26.41163620864191,10.907424381301563
115,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,20,30.528264691778997,25.71873834514359,15.754339118825097
116,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,21,48.25829825776547,19.265277851776865,60.07882882882883
117,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,22,22.987905589003145,13.083542010762427,43.08510638297873
118,IRE_Random_15,IRE,Random,15,484f0070df7d5375492d9da2668ec34c,23,44.59001545100964,26.15349778890724,41.34673979280926
119,IRE_Random_15,IRE,Random,15,1e678fabd0622a1119fb4103277a6b93,0,59.08652565400394,29.088124034311896,50.7702920211543
120,IRE_Random_15,IRE,Random,15,1e678fabd0622a1119fb4103277a6b93,1,56.4507965261868,47.823538814001815,15.282791817087842
