Loss type,Loss value,Loss index,Type,Learning Rate
Refiner/IoU,0.5098831085159498,161,Validation,0.0001
EncoderDecoder/EpochLoss,2.241453459595933,162,Validation,0.0001
Refiner/EpochLoss,2.032800466742586,162,Validation,0.0001
Refiner/IoU,0.5141356575138428,162,Validation,0.0001
EncoderDecoder/EpochLoss,2.1686723042936884,163,Validation,0.0001
Refiner/EpochLoss,1.956890820361236,163,Validation,0.0001
Refiner/IoU,0.5084138473605408,163,Validation,0.0001
EncoderDecoder/EpochLoss,2.2924925863742827,164,Validation,0.0001
Refiner/EpochLoss,2.127636016905308,164,Validation,0.0001
Refiner/IoU,0.5045221966417397,164,Validation,0.0001
EncoderDecoder/EpochLoss,1.3429137613322284,154,Train,5e-05
Refiner/EpochLoss,0.9126913982468684,154,Train,5e-05
EncoderDecoder/EpochLoss,1.2873313362533982,155,Train,5e-05
Refiner/EpochLoss,0.8526116690120181,155,Train,5e-05
EncoderDecoder/EpochLoss,1.2390499243865143,156,Train,5e-05
Refiner/EpochLoss,0.7933660842276908,156,Train,5e-05
EncoderDecoder/EpochLoss,1.2396369576454165,157,Train,5e-05
Refiner/EpochLoss,0.7889107159666113,157,Train,5e-05
EncoderDecoder/EpochLoss,1.2715182320491687,158,Train,5e-05
Refiner/EpochLoss,0.8132751535724949,158,Train,5e-05
EncoderDecoder/EpochLoss,1.1851852294561025,159,Train,5e-05
Refiner/EpochLoss,0.7306422929506045,159,Train,5e-05
EncoderDecoder/EpochLoss,1.1551984564678088,160,Train,5e-05
Refiner/EpochLoss,0.7162587755435222,160,Train,5e-05
EncoderDecoder/EpochLoss,1.1542041060086845,161,Train,5e-05
Refiner/EpochLoss,0.7146847417225709,161,Train,5e-05
EncoderDecoder/EpochLoss,1.156850418528995,162,Train,5e-05
Refiner/EpochLoss,0.7107373782106348,162,Train,5e-05
EncoderDecoder/EpochLoss,1.1595513031289384,163,Train,5e-05
Refiner/EpochLoss,0.7232629930650866,163,Train,5e-05
EncoderDecoder/EpochLoss,1.1818616841290448,164,Train,5e-05
Refiner/EpochLoss,0.7334737938803595,164,Train,5e-05
EncoderDecoder/EpochLoss,2.926558384474586,154,Validation,5e-05
Refiner/EpochLoss,2.827161569455091,154,Validation,5e-05
Refiner/IoU,0.4988333563155988,154,Validation,5e-05
EncoderDecoder/EpochLoss,2.7179140422274086,155,Validation,5e-05
Refiner/EpochLoss,2.5865588070715173,155,Validation,5e-05
Refiner/IoU,0.5105672516805284,155,Validation,5e-05
EncoderDecoder/EpochLoss,2.6647861210738912,156,Validation,5e-05
Refiner/EpochLoss,2.352468481747543,156,Validation,5e-05
Refiner/IoU,0.4963130899650209,156,Validation,5e-05
EncoderDecoder/EpochLoss,2.4271326463012133,157,Validation,5e-05
Refiner/EpochLoss,2.217072742213221,157,Validation,5e-05
